title,state_name,ideology,year,city,lat,lon
The Daily Stormer,Ohio,Neo-Nazi,2015,Worthington,40.0949,-83.021
The Dakota Voice,South Dakota,General Hate,2015,Rapid City,44.0716,-103.2205
David Horowitz Freedom Center,California,Anti-Muslim,2015,Los Angeles,34.1139,-118.4068
Divine International Church of the Web,Illinois,Christian Identity,2015,Morton,40.6137,-89.4668
Dixie Republic,South Carolina,Neo-Confederate,2015,Travelers Rest,34.9684,-82.4417
East Coast Knights of the True Invisible Empire,Pennsylvania,Ku Klux Klan,2015,Scranton,41.4044,-75.6649
East Coast Knights of the True Invisible Empire,Pennsylvania,Ku Klux Klan,2015,Wilkes-Barre,41.2468,-75.8759
Eastern Hammerskins,Pennsylvania,Racist Skinhead,2015,Allentown,40.5961,-75.4756
The Eastern White Knights of the KKK,West Virginia,Ku Klux Klan,2015,Parkersburg,39.2623,-81.5419
Ecclesiastical Council for the Restoration of Covenant Israel (ECRCI),Illinois,Christian Identity,2015,Chicago,41.8373,-87.6861
European American Action Coalition,Pennsylvania,White Nationalist,2015,Pittston,41.3274,-75.7885
European American Front,Mississippi,White Nationalist,2015,Baldwyn,34.5071,-88.6416
European-American Evangelistic Crusades,California,General Hate,2015,Carmichael,38.6336,-121.3229
Faith Baptist Church (formerly Sons of Thundr),Georgia,Anti-LGBT,2015,Greenville,33.0322,-84.7163
Faith Baptist Church and Ministry,Missouri,Christian Identity,2015,Houston,37.3212,-91.9611
Faith Freedom,Washington,Anti-Muslim,2015,Bellevue,47.5953,-122.1551
Faith2Action,Ohio,Anti-LGBT,2015,North Royalton,41.3138,-81.7451
Faithful Word Baptist Church,Arizona,Anti-LGBT,2015,Tempe,33.3881,-111.9318
Family Research Council,District of Columbia,Anti-LGBT,2015,Washington,38.9047,-77.0163
Family Research Institute,Colorado,Anti-LGBT,2015,Colorado Springs,38.8674,-104.7606
Family Watch International,Arizona,Anti-LGBT,2015,Gilbert,33.3103,-111.7463
Federation for American Immigration Reform,District of Columbia,Anti-Immigrant,2015,Washington,38.9047,-77.0163
Fellowship of God's Covenant People,Kentucky,Christian Identity,2015,Union,38.9472,-84.6731
The Fitzgerald Griffin Foundation,Virginia,White Nationalist,2015,Vienna,38.8996,-77.2597
Florida Family Association,Florida,Anti-Muslim,2015,Tampa,27.9937,-82.4454
Florida United,Florida,Racist Skinhead,2015,Saint Cloud,28.2303,-81.2849
Free American,Arizona,White Nationalist,2015,Tucson,32.1546,-110.8782
Friendship Assembly of God Church,Colorado,Anti-LGBT,2015,Colorado Springs,38.8674,-104.7606
Fundamentalist Latter Day Saints,Arizona,General Hate,2015,Colorado City,36.9774,-112.983
Fundamentalist Latter Day Saints,Utah,General Hate,2015,Hildale,37.0171,-112.9786
Gallows Tree Wotansvolk Alliance,Iowa,Neo-Volkisch,2015,Cedar Rapids,41.9667,-91.6782
Gallows Tree Wotansvolk Alliance,Michigan,Neo-Volkisch,2015,Grand Rapids,42.9615,-85.6557
Gallows Tree Wotansvolk Alliance,Texas,Neo-Volkisch,2015,Mauriceville,30.2187,-93.8758
Gallows Tree Wotansvolk Alliance,Florida,Neo-Volkisch,2015,Panama City Beach,30.2369,-85.8774
Gallows Tree Wotansvolk Alliance,California,Neo-Volkisch,2015,Paso Robles,35.6266,-120.691
Gallows Tree Wotansvolk Alliance,Florida,Neo-Volkisch,2015,Tallahassee,30.455,-84.2526
