state,total_agencies,population,reporting_agencies,number_of_incidences,year,incidences_per_100K,lat,lon
South Dakota,112,787337,12,18,2016,2.29,44.4443,-100.2263
Tennessee,463,6651194,55,142,2016,2.13,35.85800000000001,-86.3505
Texas,1097,27862596,66,178,2016,0.64,31.4757,-99.3312
Utah,130,3014190,32,66,2016,2.19,39.3055,-111.6703
Vermont,90,624594,15,25,2016,4.0,44.0687,-72.6658
Virginia,419,8411424,55,122,2016,1.45,37.5215,-78.8537
Washington,253,7282106,80,387,2016,5.31,47.3826,-120.4472
West Virginia,324,1621366,19,41,2016,2.53,38.6409,-80.6227
Wisconsin,414,5652781,18,34,2016,0.6,44.6243,-89.9941
Wyoming,55,556446,1,3,2016,0.54,42.9957,-107.5512
Alabama,334,2918324,3,9,2017,0.31,32.7794,-86.8287
Alaska,32,736205,3,4,2017,0.54,64.0685,-152.2782
Arizona,87,6755795,20,264,2017,3.91,34.2744,-111.6602
Arkansas,292,2836240,4,7,2017,0.25,34.8938,-92.4426
California,730,39529144,232,1094,2017,2.77,37.1841,-119.4696
Colorado,221,5575629,43,106,2017,1.9,38.9972,-105.5478
Connecticut,107,3588184,44,111,2017,3.09,41.6219,-72.7273
Delaware,63,961939,11,29,2017,3.01,38.9896,-75.505
District of Columbia,2,693972,2,193,2017,27.81,38.9101,-77.0147
Florida,654,20515334,67,145,2017,0.71,28.6305,-82.4497
Georgia,509,8948013,8,27,2017,0.3,32.6415,-83.4426
Idaho,106,1699259,21,53,2017,3.12,44.3509,-114.613
Illinois,741,12270234,32,82,2017,0.67,40.0417,-89.1965
Indiana,162,2287298,21,55,2017,2.4,39.8942,-86.2816
Iowa,240,3104739,8,11,2017,0.35,42.0751,-93.496
Kansas,364,2620785,38,75,2017,2.86,38.4937,-98.3804
Kentucky,409,4444239,132,378,2017,8.51,37.5347,-85.3021
Louisiana,145,3764930,15,26,2017,0.69,31.0689,-91.9968
Maine,132,1335907,10,32,2017,2.4,45.3695,-69.2428
Maryland,154,6052177,18,48,2017,0.79,39.055,-76.7909
Massachusetts,360,6703220,102,427,2017,6.37,42.2596,-71.8083
Michigan,624,9928921,177,456,2017,4.59,44.3467,-85.4102
Minnesota,353,5508515,42,146,2017,2.65,46.2807,-94.3053
Mississippi,28,682046,1,1,2017,0.15,32.7364,-89.6678
Missouri,610,6109596,32,105,2017,1.72,38.3566,-92.458
Montana,110,1050005,11,15,2017,1.43,47.0527,-109.6333
Nebraska,238,1865845,9,45,2017,2.41,41.5378,-99.7951
Nevada,51,2998039,3,5,2017,0.17,39.3289,-116.6312
New Hampshire,177,1295556,13,13,2017,1.0,43.6805,-71.5811
New Jersey,518,9005644,155,495,2017,5.5,40.1907,-74.6728
New Mexico,17,561375,1,7,2017,1.25,34.4071,-106.1126
New York,567,19685625,74,552,2017,2.8,42.9538,-75.5268
North Carolina,527,10271767,44,166,2017,1.62,35.5557,-79.3877
North Dakota,110,754604,8,15,2017,1.99,47.4501,-100.4659
Ohio,572,9703884,137,380,2017,3.92,40.2862,-82.7937
Oklahoma,412,3916111,27,37,2017,0.94,35.5889,-97.4943
Oregon,214,3902529,29,146,2017,3.74,43.9336,-120.5583
Pennsylvania,1488,12730580,23,78,2017,0.61,40.8781,-77.7996
Rhode Island,49,1059639,4,11,2017,1.04,41.6762,-71.5562
South Carolina,438,4996532,46,87,2017,1.74,33.9169,-80.8964
South Dakota,116,799083,10,17,2017,2.13,44.4443,-100.2263
Tennessee,466,6715984,57,136,2017,2.03,35.85800000000001,-86.3505
Texas,1009,28096894,75,190,2017,0.68,31.4757,-99.3312
Utah,126,3056326,27,78,2017,2.55,39.3055,-111.6703
Vermont,90,623657,17,34,2017,5.45,44.0687,-72.6658
Virginia,413,8467744,65,193,2017,2.28,37.5215,-78.8537
Washington,243,7396166,72,510,2017,6.9,47.3826,-120.4472
West Virginia,245,1591058,20,31,2017,1.95,38.6409,-80.6227
Wisconsin,437,5767235,24,46,2017,0.8,44.6243,-89.9941
Wyoming,57,553149,3,4,2017,0.72,42.9957,-107.5512
