state,total_agencies,population,reporting_agencies,number_of_incidences,year,incidences_per_100K,lat,lon
California,725,35893799,245,1393,2004,3.88,37.1841,-119.4696
Colorado,205,4443685,26,59,2004,1.33,38.9972,-105.5478
Connecticut,100,3503604,49,116,2004,3.31,41.6219,-72.7273
Delaware,53,830364,11,33,2004,3.97,38.9896,-75.505
District of Columbia,2,553523,2,49,2004,8.85,38.9101,-77.0147
Florida,490,17351455,95,274,2004,1.58,28.6305,-82.4497
Georgia,77,1576482,7,29,2004,1.84,32.6415,-83.4426
Idaho,119,1392114,12,37,2004,2.66,44.3509,-114.613
Illinois,63,5088478,48,187,2004,3.67,40.0417,-89.1965
Indiana,137,3017102,13,63,2004,2.09,39.8942,-86.2816
Iowa,219,2905626,17,23,2004,0.79,42.0751,-93.496
Kansas,357,2109590,21,49,2004,2.32,38.4937,-98.3804
Kentucky,326,3709354,32,71,2004,1.91,37.5347,-85.3021
Louisiana,148,3499083,12,22,2004,0.63,31.0689,-91.9968
Maine,147,1317253,29,68,2004,5.16,45.3695,-69.2428
Maryland,150,5558058,32,245,2004,4.41,39.055,-76.7909
Massachusetts,301,5837059,90,346,2004,5.93,42.2596,-71.8083
Michigan,601,8995290,172,556,2004,6.18,44.3467,-85.4102
Minnesota,318,5083400,63,239,2004,4.7,46.2807,-94.3053
Mississippi,68,1012911,2,2,2004,0.2,32.7364,-89.6678
Missouri,259,3534443,29,71,2004,2.01,38.3566,-92.458
Montana,105,926865,25,56,2004,6.04,47.0527,-109.6333
Nebraska,207,1493580,15,62,2004,4.15,41.5378,-99.7951
Nevada,35,2334771,4,81,2004,3.47,39.3289,-116.6312
New Hampshire,140,935961,29,48,2004,5.13,43.6805,-71.5811
New Jersey,513,8698879,249,769,2004,8.84,40.1907,-74.6728
New Mexico,49,1172271,3,21,2004,1.79,34.4071,-106.1126
New York,520,19199225,42,386,2004,2.01,42.9538,-75.5268
North Carolina,418,8027181,35,66,2004,0.82,35.5557,-79.3877
North Dakota,69,560073,5,8,2004,1.43,47.4501,-100.4659
Ohio,410,8991851,74,353,2004,3.93,40.2862,-82.7937
Oklahoma,297,3523553,29,51,2004,1.45,35.5889,-97.4943
Oregon,170,3592045,23,155,2004,4.32,43.9336,-120.5583
Pennsylvania,857,11406091,34,105,2004,0.92,40.8781,-77.7996
Rhode Island,48,1080632,8,29,2004,2.68,41.6762,-71.5562
South Carolina,468,4196056,51,105,2004,2.5,33.9169,-80.8964
South Dakota,155,765756,6,7,2004,0.91,44.4443,-100.2263
Tennessee,453,5900962,68,136,2004,2.3,35.85800000000001,-86.3505
Texas,987,22466217,84,309,2004,1.38,31.4757,-99.3312
Utah,55,1840775,16,59,2004,3.21,39.3055,-111.6703
Vermont,74,602735,12,28,2004,4.65,44.0687,-72.6658
Virginia,395,7399760,68,307,2004,4.15,37.5215,-78.8537
Washington,253,6203788,51,175,2004,2.82,47.3826,-120.4472
West Virginia,431,1815354,12,31,2004,1.71,38.6409,-80.6227
Wisconsin,369,5509026,19,37,2004,0.67,44.6243,-89.9941
Wyoming,42,349046,4,4,2004,1.15,42.9957,-107.5512
Alabama,32,455247,0,0,2005,0.0,32.7794,-86.8287
Alaska,1,276109,1,4,2005,1.45,64.0685,-152.2782
Arizona,78,4202942,26,138,2005,3.28,34.2744,-111.6602
Arkansas,205,1703545,66,134,2005,7.87,34.8938,-92.4426
California,725,36132147,252,1379,2005,3.82,37.1841,-119.4696
Colorado,205,4517158,43,125,2005,2.77,38.9972,-105.5478
Connecticut,98,3428766,45,95,2005,2.77,41.6219,-72.7273
Delaware,53,843524,11,45,2005,5.33,38.9896,-75.505
District of Columbia,2,550521,2,48,2005,8.72,38.9101,-77.0147
Florida,492,17744135,95,231,2005,1.3,28.6305,-82.4497
Georgia,71,1925691,4,17,2005,0.88,32.6415,-83.4426
Idaho,106,1425914,16,33,2005,2.31,44.3509,-114.613
Illinois,66,5047250,50,168,2005,3.33,40.0417,-89.1965
Indiana,142,3933013,18,54,2005,1.37,39.8942,-86.2816
Iowa,225,2935183,19,37,2005,1.26,42.0751,-93.496
Kansas,349,2048283,35,72,2005,3.52,38.4937,-98.3804
Kentucky,321,3744693,22,44,2005,1.17,37.5347,-85.3021
Louisiana,133,3248124,10,17,2005,0.52,31.0689,-91.9968
Maine,147,1321505,27,57,2005,4.31,45.3695,-69.2428
Maryland,150,5600388,29,195,2005,3.48,39.055,-76.7909
Massachusetts,267,5665124,83,371,2005,6.55,42.2596,-71.8083
Michigan,597,9997261,166,640,2005,6.4,44.3467,-85.4102
Minnesota,302,4922821,55,206,2005,4.18,46.2807,-94.3053
Mississippi,67,866704,0,0,2005,0.0,32.7364,-89.6678
Missouri,278,3525724,25,78,2005,2.21,38.3566,-92.458
Montana,108,935422,25,65,2005,6.95,47.0527,-109.6333
Nebraska,194,1436768,11,71,2005,4.94,41.5378,-99.7951
Nevada,35,2414807,4,77,2005,3.19,39.3289,-116.6312
New Hampshire,140,1019459,23,32,2005,3.14,43.6805,-71.5811
New Jersey,513,8717925,216,738,2005,8.47,40.1907,-74.6728
New Mexico,48,1222522,3,18,2005,1.47,34.4071,-106.1126
New York,302,7869264,43,249,2005,3.16,42.9538,-75.5268
North Carolina,436,8457849,41,89,2005,1.05,35.5557,-79.3877
North Dakota,71,568522,8,12,2005,2.11,47.4501,-100.4659
Ohio,443,8702176,60,176,2005,2.02,40.2862,-82.7937
Oklahoma,297,3547884,33,41,2005,1.16,35.5889,-97.4943
Oregon,168,3636515,26,137,2005,3.77,43.9336,-120.5583
Pennsylvania,916,11564862,36,118,2005,1.02,40.8781,-77.7996
Rhode Island,48,1076189,10,15,2005,1.39,41.6762,-71.5562
South Carolina,446,4254373,50,98,2005,2.3,33.9169,-80.8964
South Dakota,95,533343,7,9,2005,1.69,44.4443,-100.2263
Tennessee,455,5962959,68,128,2005,2.15,35.85800000000001,-86.3505
Texas,997,22839807,79,264,2005,1.16,31.4757,-99.3312
Utah,112,2433318,14,44,2005,1.81,39.3055,-111.6703
Vermont,75,602314,17,32,2005,5.31,44.0687,-72.6658
Virginia,395,7517151,68,295,2005,3.92,37.5215,-78.8537
Washington,252,6281630,55,171,2005,2.72,47.3826,-120.4472
West Virginia,349,1679815,17,47,2005,2.8,38.6409,-80.6227
Wisconsin,359,5289551,20,46,2005,0.87,44.6243,-89.9941
Wyoming,51,380216,3,3,2005,0.79,42.9957,-107.5512
Alabama,42,693540,1,1,2006,0.14,32.7794,-86.8287
Alaska,2,284014,1,6,2006,2.11,64.0685,-152.2782
Arizona,80,5889288,24,149,2006,2.53,34.2744,-111.6602
Arkansas,257,2739473,42,113,2006,4.12,34.8938,-92.4426
California,728,36457549,250,1297,2006,3.56,37.1841,-119.4696
Colorado,220,4724991,45,138,2006,2.92,38.9972,-105.5478
Connecticut,99,3504130,51,131,2006,3.74,41.6219,-72.7273
Delaware,53,853476,17,48,2006,5.62,38.9896,-75.505
District of Columbia,2,581530,2,57,2006,9.8,38.9101,-77.0147
Florida,491,18045007,91,216,2006,1.2,28.6305,-82.4497
Georgia,61,1145950,4,13,2006,1.13,32.6415,-83.4426
Idaho,105,1460666,12,23,2006,1.57,44.3509,-114.613
Illinois,66,5264133,49,156,2006,2.96,40.0417,-89.1965
Indiana,124,2796935,15,39,2006,1.39,39.8942,-86.2816
Iowa,223,2929952,15,28,2006,0.96,42.0751,-93.496
Kansas,359,2135498,49,109,2006,5.1,38.4937,-98.3804
Kentucky,320,3731141,28,64,2006,1.72,37.5347,-85.3021
Louisiana,108,2291563,13,22,2006,0.96,31.0689,-91.9968
Maine,148,1321574,31,59,2006,4.46,45.3695,-69.2428
Maryland,153,5615727,34,212,2006,3.78,39.055,-76.7909
Massachusetts,328,6040017,85,379,2006,6.27,42.2596,-71.8083
Michigan,598,9981189,185,653,2006,6.54,44.3467,-85.4102
Minnesota,289,4306199,53,137,2006,3.18,46.2807,-94.3053
Mississippi,62,830449,0,0,2006,0.0,32.7364,-89.6678
Missouri,309,3532150,26,78,2006,2.21,38.3566,-92.458
Montana,93,923589,14,24,2006,2.6,47.0527,-109.6333
Nebraska,197,1472246,10,56,2006,3.8,41.5378,-99.7951
Nevada,34,2495529,11,125,2006,5.01,39.3289,-116.6312
New Hampshire,134,987279,20,34,2006,3.44,43.6805,-71.5811
New Jersey,513,8724560,225,759,2006,8.7,40.1907,-74.6728
New Mexico,46,1220005,5,20,2006,1.64,34.4071,-106.1126
New York,277,15094282,41,522,2006,3.46,42.9538,-75.5268
North Carolina,434,8381485,40,100,2006,1.19,35.5557,-79.3877
North Dakota,72,570642,9,16,2006,2.8,47.4501,-100.4659
Ohio,493,8638061,87,300,2006,3.47,40.2862,-82.7937
Oklahoma,294,3568374,28,51,2006,1.43,35.5889,-97.4943
Oregon,169,3697193,32,141,2006,3.81,43.9336,-120.5583
Pennsylvania,954,11740668,27,97,2006,0.83,40.8781,-77.7996
Rhode Island,47,1067610,12,19,2006,1.78,41.6762,-71.5562
South Carolina,476,4318330,56,110,2006,2.55,33.9169,-80.8964
South Dakota,91,599756,7,76,2006,12.67,44.4443,-100.2263
Tennessee,459,6036872,65,202,2006,3.35,35.85800000000001,-86.3505
Texas,996,23483201,68,245,2006,1.04,31.4757,-99.3312
Utah,111,2516523,21,35,2006,1.39,39.3055,-111.6703
Vermont,78,612273,10,21,2006,3.43,44.0687,-72.6658
Virginia,399,7621121,91,341,2006,4.47,37.5215,-78.8537
Washington,253,6393124,56,177,2006,2.77,47.3826,-120.4472
West Virginia,340,1707846,18,34,2006,1.99,38.6409,-80.6227
Wisconsin,371,5556506,25,84,2006,1.51,44.6243,-89.9941
Wyoming,62,503327,4,5,2006,0.99,42.9957,-107.5512
Alabama,156,2388398,5,6,2007,0.25,32.7794,-86.8287
Alaska,1,284142,1,8,2007,2.82,64.0685,-152.2782
Arizona,78,5754940,26,161,2007,2.8,34.2744,-111.6602
Arkansas,265,2765195,27,33,2007,1.19,34.8938,-92.4426
California,727,36553215,276,1400,2007,3.83,37.1841,-119.4696
Colorado,213,4733294,48,156,2007,3.3,38.9972,-105.5478
Connecticut,101,3502309,53,127,2007,3.63,41.6219,-72.7273
Delaware,53,853712,14,49,2007,5.74,38.9896,-75.505
District of Columbia,2,588292,2,41,2007,6.97,38.9101,-77.0147
Florida,490,18152012,73,166,2007,0.91,28.6305,-82.4497
Georgia,18,680591,3,13,2007,1.91,32.6415,-83.4426
Idaho,108,1497812,16,38,2007,2.54,44.3509,-114.613
Illinois,60,4945770,45,167,2007,3.38,40.0417,-89.1965
Indiana,127,2899537,13,40,2007,1.38,39.8942,-86.2816
Iowa,226,2951927,16,27,2007,0.91,42.0751,-93.496
Kansas,348,2137765,45,110,2007,5.15,38.4937,-98.3804
Kentucky,324,3841157,23,48,2007,1.25,37.5347,-85.3021
Louisiana,103,2514916,14,31,2007,1.23,31.0689,-91.9968
Maine,149,1317207,30,72,2007,5.47,45.3695,-69.2428
Maryland,156,5618344,25,150,2007,2.67,39.055,-76.7909
Massachusetts,337,6272474,85,353,2007,5.63,42.2596,-71.8083
Michigan,593,9931655,185,627,2007,6.31,44.3467,-85.4102
Minnesota,321,5196856,47,157,2007,3.02,46.2807,-94.3053
Mississippi,58,704703,0,0,2007,0.0,32.7364,-89.6678
Missouri,561,5699738,39,114,2007,2.0,38.3566,-92.458
Montana,96,944103,11,21,2007,2.22,47.0527,-109.6333
Nebraska,162,1267389,9,44,2007,3.47,41.5378,-99.7951
Nevada,32,2526861,6,63,2007,2.49,39.3289,-116.6312
New Hampshire,143,1021621,25,43,2007,4.21,43.6805,-71.5811
New Jersey,512,8684873,207,748,2007,8.61,40.1907,-74.6728
New Mexico,48,1173881,4,14,2007,1.19,34.4071,-106.1126
New York,273,15335616,29,493,2007,3.21,42.9538,-75.5268
North Carolina,369,7421793,33,75,2007,1.01,35.5557,-79.3877
North Dakota,77,578781,10,14,2007,2.42,47.4501,-100.4659
Ohio,534,8698569,76,312,2007,3.59,40.2862,-82.7937
Oklahoma,293,3617316,26,30,2007,0.83,35.5889,-97.4943
Oregon,239,3743591,40,170,2007,4.54,43.9336,-120.5583
Pennsylvania,1173,12075298,24,83,2007,0.69,40.8781,-77.7996
Rhode Island,47,1057832,7,47,2007,4.44,41.6762,-71.5562
South Carolina,480,4407709,55,127,2007,2.88,33.9169,-80.8964
South Dakota,105,672329,9,37,2007,5.5,44.4443,-100.2263
Tennessee,461,6156260,58,239,2007,3.88,35.85800000000001,-86.3505
Texas,999,23879373,60,242,2007,1.01,31.4757,-99.3312
Utah,117,2619834,28,55,2007,2.1,39.3055,-111.6703
Vermont,80,610907,11,21,2007,3.44,44.0687,-72.6658
Virginia,408,7710349,83,323,2007,4.19,37.5215,-78.8537
Washington,244,6437315,54,195,2007,3.03,47.3826,-120.4472
West Virginia,338,1686872,21,44,2007,2.61,38.6409,-80.6227
Wisconsin,374,5599350,21,69,2007,1.23,44.6243,-89.9941
Wyoming,62,516189,7,21,2007,4.07,42.9957,-107.5512
Alabama,163,2802524,5,11,2008,0.39,32.7794,-86.8287
Alaska,2,286625,2,8,2008,2.79,64.0685,-152.2782
Arizona,89,6438728,26,185,2008,2.87,34.2744,-111.6602
Arkansas,260,2767575,36,91,2008,3.29,34.8938,-92.4426
California,730,36756666,269,1381,2008,3.76,37.1841,-119.4696
Colorado,210,4803326,48,149,2008,3.1,38.9972,-105.5478
Connecticut,101,3501252,57,164,2008,4.68,41.6219,-72.7273
Delaware,54,873092,17,58,2008,6.64,38.9896,-75.505
District of Columbia,2,591833,2,42,2008,7.1,38.9101,-77.0147
Florida,487,18235592,72,153,2008,0.84,28.6305,-82.4497
Georgia,6,554193,2,9,2008,1.62,32.6415,-83.4426
Idaho,106,1519264,12,30,2008,1.97,44.3509,-114.613
Illinois,308,8048213,44,120,2008,1.49,40.0417,-89.1965
Indiana,131,3062775,17,61,2008,1.99,39.8942,-86.2816
Iowa,228,2974039,15,33,2008,1.11,42.0751,-93.496
Kansas,351,2311956,48,113,2008,4.89,38.4937,-98.3804
Kentucky,315,3821826,23,64,2008,1.67,37.5347,-85.3021
Louisiana,87,2445629,10,67,2008,2.74,31.0689,-91.9968
Maine,134,1316456,28,63,2008,4.79,45.3695,-69.2428
