,year,code,state,lat,lon,RATE,DEATHS
135,2016,OK,Oklahoma,35.5889,-97.4943,21.0,822
136,2016,OR,Oregon,43.9336,-120.5583,17.8,772
137,2016,PA,Pennsylvania,40.8781,-77.7996,14.7,"1,970"
138,2016,RI,Rhode Island,41.6762,-71.5562,11.2,126
139,2016,SC,South Carolina,33.9169,-80.8964,15.7,815
140,2016,SD,South Dakota,44.4443,-100.2263,20.2,163
141,2016,TN,Tennessee,35.85800000000001,-86.3505,16.3,"1,111"
142,2016,TX,Texas,31.4757,-99.3312,12.6,"3,488"
143,2016,UT,Utah,39.3055,-111.6703,21.8,620
144,2016,VT,Vermont,44.0687,-72.6658,17.3,118
145,2016,VA,Virginia,37.5215,-78.8537,13.2,"1,166"
146,2016,WA,Washington,47.3826,-120.4472,14.9,"1,141"
147,2016,WV,West Virginia,38.6409,-80.6227,19.3,362
148,2016,WI,Wisconsin,44.6243,-89.9941,14.7,866
149,2016,WY,Wyoming,42.9957,-107.5512,25.2,144
150,2017,AL,Alabama,32.7794,-86.8287,16.6,836
151,2017,AK,Alaska,64.0685,-152.2782,27.0,200
152,2017,AZ,Arizona,34.2744,-111.6602,18.2,"1,327"
153,2017,AR,Arkansas,34.8938,-92.4426,20.8,631
154,2017,CA,California,37.1841,-119.4696,10.5,"4,312"
155,2017,CO,Colorado,38.9972,-105.5478,20.3,"1,181"
156,2017,CT,Connecticut,41.6219,-72.7273,10.5,405
157,2017,DE,Delaware,38.9896,-75.505,11.6,112
158,2017,FL,Florida,28.6305,-82.4497,14.0,"3,227"
159,2017,GA,Georgia,32.6415,-83.4426,13.6,"1,451"
160,2017,HI,Hawaii,20.2927,-156.3737,15.2,227
161,2017,ID,Idaho,44.3509,-114.613,23.2,392
162,2017,IL,Illinois,40.0417,-89.1965,11.2,"1,474"
163,2017,IN,Indiana,39.8942,-86.2816,16.3,"1,092"
164,2017,IA,Iowa,42.0751,-93.496,15.0,479
165,2017,KS,Kansas,38.4937,-98.3804,19.1,553
166,2017,KY,Kentucky,37.5347,-85.3021,16.9,770
167,2017,LA,Louisiana,31.0689,-91.9968,15.2,720
168,2017,ME,Maine,45.3695,-69.2428,18.9,274
169,2017,MD,Maryland,39.055,-76.7909,9.8,630
170,2017,MA,Massachusetts,42.2596,-71.8083,9.5,682
171,2017,MI,Michigan,44.3467,-85.4102,14.1,"1,457"
172,2017,MN,Minnesota,46.2807,-94.3053,13.8,783
173,2017,MS,Mississippi,32.7364,-89.6678,15.0,445
174,2017,MO,Missouri,38.3566,-92.458,18.5,"1,151"
175,2017,MT,Montana,47.0527,-109.6333,28.9,311
176,2017,NE,Nebraska,41.5378,-99.7951,14.7,275
177,2017,NV,Nevada,39.3289,-116.6312,20.3,627
178,2017,NH,New Hampshire,43.6805,-71.5811,18.9,265
179,2017,NJ,New Jersey,40.1907,-74.6728,8.3,795
180,2017,NM,New Mexico,34.4071,-106.1126,23.3,491
181,2017,NY,New York,42.9538,-75.5268,8.1,"1,696"
182,2017,NC,North Carolina,35.5557,-79.3877,14.3,"1,521"
183,2017,ND,North Dakota,47.4501,-100.4659,20.1,154
184,2017,OH,Ohio,40.2862,-82.7937,14.8,"1,740"
185,2017,OK,Oklahoma,35.5889,-97.4943,19.1,756
186,2017,OR,Oregon,43.9336,-120.5583,19.0,825
187,2017,PA,Pennsylvania,40.8781,-77.7996,15.0,"2,030"
188,2017,RI,Rhode Island,41.6762,-71.5562,11.8,129
189,2017,SC,South Carolina,33.9169,-80.8964,16.3,838
190,2017,SD,South Dakota,44.4443,-100.2263,22.5,191
191,2017,TN,Tennessee,35.85800000000001,-86.3505,16.8,"1,166"
192,2017,TX,Texas,31.4757,-99.3312,13.4,"3,778"
193,2017,UT,Utah,39.3055,-111.6703,22.7,663
194,2017,VT,Vermont,44.0687,-72.6658,18.3,112
195,2017,VA,Virginia,37.5215,-78.8537,13.4,"1,179"
196,2017,WA,Washington,47.3826,-120.4472,16.9,"1,297"
197,2017,WV,West Virginia,38.6409,-80.6227,21.1,393
198,2017,WI,Wisconsin,44.6243,-89.9941,15.4,926
199,2017,WY,Wyoming,42.9957,-107.5512,26.9,157
