title,state_name,ideology,year,city,lat,lon
European American Culture Council,California,General Hate,2003,Sacramento,38.5667,-121.4683
European-American Unity and Rights Organization,Iowa,White Nationalist,2003,Ames,42.0261,-93.6279
European-American Unity and Rights Organization,Ohio,White Nationalist,2003,Cleveland,41.4767,-81.6805
European-American Unity and Rights Organization,Idaho,White Nationalist,2003,Coeur d'Alene,47.7039,-116.7933
European-American Unity and Rights Organization,South Carolina,White Nationalist,2003,Columbia,34.037,-80.9042
European-American Unity and Rights Organization,Georgia,White Nationalist,2003,Columbus,32.51,-84.8771
European-American Unity and Rights Organization,Louisiana,White Nationalist,2003,Franklinton,30.8479,-90.1459
European-American Unity and Rights Organization,Alabama,White Nationalist,2003,Hanceville,34.0634,-86.7651
European-American Unity and Rights Organization,Texas,White Nationalist,2003,Irving,32.8584,-96.9702
European-American Unity and Rights Organization,Florida,White Nationalist,2003,Jacksonville,30.3322,-81.6749
European-American Unity and Rights Organization,Louisiana,White Nationalist,2003,Mandeville,30.375,-90.0906
European-American Unity and Rights Organization,Pennsylvania,White Nationalist,2003,Pittsburgh,40.4396,-79.9763
European-American Unity and Rights Organization,Virginia,White Nationalist,2003,Richmond,37.5295,-77.4756
European-American Unity and Rights Organization,Mississippi,White Nationalist,2003,Ripley,34.7321,-88.9444
European-American Unity and Rights Organization,Washington,White Nationalist,2003,Seattle,47.6211,-122.3244
European-American Unity and Rights Organization,Louisiana,White Nationalist,2003,Shreveport,32.4659,-93.7959
European-American Unity and Rights Organization,Mississippi,White Nationalist,2003,Southaven,34.9514,-89.9787
European-American Unity and Rights Organization,Louisiana,White Nationalist,2003,Thibodaux,29.7941,-90.8163
European-American Unity and Rights Organization,Oklahoma,White Nationalist,2003,Tulsa,36.1284,-95.9042
European-American Unity and Rights Organization,South Carolina,White Nationalist,2003,Woodruff,34.7397,-82.0323
Excalibur Productions,Ohio,Christian Identity,2003,Johnstown,40.15,-82.6881
Faith Baptist Church and Ministry,South Carolina,Christian Identity,2003,Summerville,33.0005,-80.1788
Fellowship of God's Covenant People,Kentucky,Christian Identity,2003,Burlington,39.0223,-84.7216
Final Stand Records,Delaware,Hate Music,2003,Newark,39.6776,-75.7573
Free Knights of the KKK,Georgia,Ku Klux Klan,2003,Buchanan,33.803,-85.1803
Free Knights of the KKK,Georgia,Ku Klux Klan,2003,Hiram,33.877,-84.771
Free Knights of the KKK,North Carolina,Ku Klux Klan,2003,Madison,36.3868,-79.975
FreeMississippi,Mississippi,Neo-Confederate,2003,Perkinston,30.7821,-89.1381
FreeSouth,Mississippi,Neo-Confederate,2003,Wiggins,30.8557,-89.1385
German American Nationalist PAC,Florida,Neo-Nazi,2003,Pensacola,30.4427,-87.1886
Golden State Skinheads,California,Racist Skinhead,2003,San Luis Obispo,35.2671,-120.6689
Gospel Broadcasting Association,Texas,Christian Identity,2003,Houston,29.7868,-95.3905
Gospel Ministries,Idaho,Christian Identity,2003,Boise,43.6006,-116.2316
Great Tennessee Knights of the KKK,Tennessee,Ku Klux Klan,2003,Telford,36.2534,-82.5478
Heritage and Destiny,Virginia,White Nationalist,2003,Ashburn,39.03,-77.4711
House of Yahweh,Tennessee,Christian Identity,2003,New Tazewell,36.4381,-83.6053
Hypatia Publishing,Washington,White Nationalist,2003,Vancouver,45.6352,-122.597
Imperial Guard Ku Klux Klan,Missouri,Ku Klux Klan,2003,Sparta,37.002,-93.0846
Imperial Klans of America Knights of the KKK,Ohio,Ku Klux Klan,2003,Amelia,39.0229,-84.2185
Imperial Klans of America Knights of the KKK,Pennsylvania,Ku Klux Klan,2003,Boothwyn,39.8357,-75.4453
Imperial Klans of America Knights of the KKK,Indiana,Ku Klux Klan,2003,Center Point,39.4154,-87.0752
Imperial Klans of America Knights of the KKK,Maryland,Ku Klux Klan,2003,Churchville,39.5612,-76.2455
Imperial Klans of America Knights of the KKK,Ohio,Ku Klux Klan,2003,Cincinnati,39.1412,-84.5059
Imperial Klans of America Knights of the KKK,Arkansas,Ku Klux Klan,2003,Colt,35.1329,-90.8129
Imperial Klans of America Knights of the KKK,Kentucky,Ku Klux Klan,2003,Dawson Springs,37.174,-87.688
Imperial Klans of America Knights of the KKK,Louisiana,Ku Klux Klan,2003,Downsville,32.6264,-92.4129
Imperial Klans of America Knights of the KKK,Arkansas,Ku Klux Klan,2003,El Dorado,33.2184,-92.664
Imperial Klans of America Knights of the KKK,Florida,Ku Klux Klan,2003,Gainesville,29.6808,-82.3455
Imperial Klans of America Knights of the KKK,Michigan,Ku Klux Klan,2003,Gregory,42.4584,-84.0844
Imperial Klans of America Knights of the KKK,Virginia,Ku Klux Klan,2003,Harrisonburg,38.4362,-78.8735
Imperial Klans of America Knights of the KKK,West Virginia,Ku Klux Klan,2003,Hometown,38.5288,-81.8552
Imperial Klans of America Knights of the KKK,Arkansas,Ku Klux Klan,2003,Joiner,35.5056,-90.15
Imperial Klans of America Knights of the KKK,Kansas,Ku Klux Klan,2003,Lakin,37.9398,-101.2587
Imperial Klans of America Knights of the KKK,Oklahoma,Ku Klux Klan,2003,Lawton,34.6171,-98.4204
Imperial Klans of America Knights of the KKK,Illinois,Ku Klux Klan,2003,Litchfield,39.1963,-89.6288
Imperial Klans of America Knights of the KKK,Kentucky,Ku Klux Klan,2003,Louisville,38.1662,-85.6488
Imperial Klans of America Knights of the KKK,Arkansas,Ku Klux Klan,2003,Magnolia,33.2774,-93.2261
Imperial Klans of America Knights of the KKK,Arizona,Ku Klux Klan,2003,Mesa,33.4017,-111.7181
Imperial Klans of America Knights of the KKK,California,Ku Klux Klan,2003,Newport Beach,33.6151,-117.8669
Imperial Klans of America Knights of the KKK,California,Ku Klux Klan,2003,Orangevale,38.688,-121.2208
Imperial Klans of America Knights of the KKK,Kentucky,Ku Klux Klan,2003,Powderly,37.2375,-87.1588
Imperial Klans of America Knights of the KKK,Ohio,Ku Klux Klan,2003,Sterling,40.9663,-81.844
Imperial Klans of America Knights of the KKK,Virginia,Ku Klux Klan,2003,Virginia Beach,36.7335,-76.0435
Imperial Klans of America Knights of the KKK,North Carolina,Ku Klux Klan,2003,Walkertown,36.1574,-80.1645
Imperial Klans of America Knights of the KKK,District of Columbia,Ku Klux Klan,2003,Washington,38.9047,-77.0163
Institute for Historical Review,California,Holocaust Denial,2003,Newport Beach,33.6151,-117.8669
International Keystone Knights of the KKK,Ohio,Ku Klux Klan,2003,Cleveland,41.4767,-81.6805
International Keystone Knights of the KKK,Arkansas,Ku Klux Klan,2003,Colt,35.1329,-90.8129
International Keystone Knights of the KKK,Pennsylvania,Ku Klux Klan,2003,Johnstown,40.3258,-78.9194
International National Socialist Party,Wyoming,Neo-Nazi,2003,Cheyenne,41.1406,-104.7926
Invisible Empire Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2003,Conroe,30.322,-95.4807
Invisible Empire of the International Knights,South Carolina,Ku Klux Klan,2003,Enoree,34.6593,-81.9609
Invisible Empire White Knights of the Ku Klux Klan,Pennsylvania,Ku Klux Klan,2003,Washington,40.174,-80.2466
Invisible Knights of the Ku Klux Klan,Indiana,Ku Klux Klan,2003,Fort Wayne,41.0885,-85.1436
Jewish Defense League,California,General Hate,2003,Brookdale,37.1058,-122.1106
Jewish Defense League,New York,General Hate,2003,Brooklyn,40.6501,-73.9496
Jewish Defense League,Mississippi,General Hate,2003,D'Iberville,30.4545,-88.8982
Jewish Defense League,Florida,General Hate,2003,Fort Lauderdale,26.1412,-80.1464
Jewish Defense League,Ohio,General Hate,2003,Kent,41.149,-81.361
Jewish Defense League,Arizona,General Hate,2003,Kingman,35.217,-114.0105
Jewish Defense League,California,General Hate,2003,Los Angeles,34.1139,-118.4068
Jewish Defense League,Pennsylvania,General Hate,2003,Philadelphia,40.0076,-75.134
Jewish Defense League,Arizona,General Hate,2003,Phoenix,33.5722,-112.0891
Jewish Defense League,Nevada,General Hate,2003,Reno,39.5497,-119.8483
Jewish Defense League,Massachusetts,General Hate,2003,Revere,42.4191,-71.0035
Jewish Defense League,New York,General Hate,2003,Rochester,43.168,-77.6162
Jewish Defense League,California,General Hate,2003,Sacramento,38.5667,-121.4683
Jewish Defense League,Illinois,General Hate,2003,Skokie,42.0359,-87.74
Jewish Defense League,Florida,General Hate,2003,Tampa,27.9937,-82.4454
Keystone State Skinheads,Pennsylvania,Racist Skinhead,2003,Altoona,40.5082,-78.4007
Keystone State Skinheads,Pennsylvania,Racist Skinhead,2003,Harrisburg,40.2752,-76.8843
Keystone State Skinheads,Pennsylvania,Racist Skinhead,2003,Lancaster,40.0421,-76.3012
Keystone State Skinheads,Pennsylvania,Racist Skinhead,2003,Philadelphia,40.0076,-75.134
Keystone State Skinheads,Pennsylvania,Racist Skinhead,2003,Youngwood,40.2443,-79.5812
Kingdom Identity Ministries,Arkansas,Christian Identity,2003,Harrison,36.2437,-93.1197
Kinsman Redeemer Ministries,Washington,Christian Identity,2003,Tacoma,47.2431,-122.4531
Knight Riders of the KKK,West Virginia,Ku Klux Klan,2003,Daniels,37.724,-81.1267
Knights of the Ku Klux Klan,Arkansas,Ku Klux Klan,2003,Concord,35.6625,-91.849
Knights of the Ku Klux Klan,Arkansas,Ku Klux Klan,2003,Harrison,36.2437,-93.1197
Knights of the Ku Klux Klan,Tennessee,Ku Klux Klan,2003,Newport,35.9617,-83.1977
Knights of the Ku Klux Klan,Nevada,Ku Klux Klan,2003,Reno,39.5497,-119.8483
Knights of the White Kamellia,Ohio,Ku Klux Klan,2003,Germantown,39.6324,-84.3645
Knights of Yahweh,Tennessee,Ku Klux Klan,2003,Morristown,36.2043,-83.3001
KKK LLC,Arkansas,Hate Music,2003,Compton,36.0967,-93.3027
Lawrence Dennis Institute,Virginia,White Nationalist,2003,Fairfax,38.8531,-77.2997
League of the South,South Carolina,Neo-Confederate,2003,Abbeville,34.1787,-82.3774
League of the South,Georgia,Neo-Confederate,2003,Adairsville,34.3703,-84.9214
League of the South,South Carolina,Neo-Confederate,2003,Aiken,33.5303,-81.727
League of the South,South Carolina,Neo-Confederate,2003,Anderson,34.5212,-82.6479
League of the South,Florida,Neo-Confederate,2003,Apopka,28.7015,-81.5308
League of the South,North Carolina,Neo-Confederate,2003,Asheville,35.5706,-82.5537
League of the South,Georgia,Neo-Confederate,2003,Athens,33.9508,-83.3689
League of the South,Georgia,Neo-Confederate,2003,Augusta,33.3645,-82.0708
League of the South,Texas,Neo-Confederate,2003,Austin,30.3006,-97.7517
League of the South,South Carolina,Neo-Confederate,2003,Bamberg,33.2995,-81.0323
League of the South,Virginia,Neo-Confederate,2003,Bluefield,37.2351,-81.2751
League of the South,Colorado,Neo-Confederate,2003,Boulder,40.0249,-105.2523
League of the South,Georgia,Neo-Confederate,2003,Bremen,33.7086,-85.1498
League of the South,Georgia,Neo-Confederate,2003,Brunswick,31.145,-81.474
League of the South,New York,Neo-Confederate,2003,Buffalo,42.9017,-78.8487
League of the South,North Carolina,Neo-Confederate,2003,Burlington,36.0762,-79.4687
League of the South,Georgia,Neo-Confederate,2003,Canton,34.2469,-84.4902
League of the South,Georgia,Neo-Confederate,2003,Cedartown,34.0224,-85.248
League of the South,North Carolina,Neo-Confederate,2003,Charlotte,35.2079,-80.8303
League of the South,Georgia,Neo-Confederate,2003,Clarkesville,34.6103,-83.5284
League of the South,South Carolina,Neo-Confederate,2003,Columbia,34.037,-80.9042
League of the South,North Carolina,Neo-Confederate,2003,Durham,35.9797,-78.9037
League of the South,South Carolina,Neo-Confederate,2003,Easley,34.819,-82.5828
League of the South,North Carolina,Neo-Confederate,2003,Hamlet,34.889,-79.7098
League of the South,Virginia,Neo-Confederate,2003,Hanover,37.7668,-77.3706
League of the South,Arkansas,Neo-Confederate,2003,Hot Springs,34.4902,-93.0498
League of the South,Texas,Neo-Confederate,2003,Iredell,31.9865,-97.872
League of the South,Florida,Neo-Confederate,2003,Jacksonville,30.3322,-81.6749
League of the South,Alabama,Neo-Confederate,2003,Killen,34.8607,-87.5269
League of the South,Georgia,Neo-Confederate,2003,Lavonia,34.4345,-83.1082
League of the South,Kentucky,Neo-Confederate,2003,Lebanon,37.5685,-85.258
League of the South,Georgia,Neo-Confederate,2003,Leesburg,31.7325,-84.1687
League of the South,Georgia,Neo-Confederate,2003,McDonough,33.4398,-84.1508
League of the South,Mississippi,Neo-Confederate,2003,Mendenhall,31.9609,-89.8694
League of the South,Florida,Neo-Confederate,2003,Milton,30.6286,-87.0521
League of the South,Louisiana,Neo-Confederate,2003,Monroe,32.5184,-92.0774
League of the South,Alabama,Neo-Confederate,2003,Montgomery,32.347,-86.2663
League of the South,Missouri,Neo-Confederate,2003,Nevada,37.8445,-94.3492
League of the South,South Carolina,Neo-Confederate,2003,Newberry,34.2822,-81.6012
League of the South,Virginia,Neo-Confederate,2003,Norfolk,36.8945,-76.259
League of the South,South Carolina,Neo-Confederate,2003,Orangeburg,33.4928,-80.8671
League of the South,Florida,Neo-Confederate,2003,Panama City,30.1997,-85.6003
League of the South,Georgia,Neo-Confederate,2003,Peachtree City,33.3943,-84.5711
League of the South,Georgia,Neo-Confederate,2003,Rome,34.2662,-85.1862
League of the South,North Carolina,Neo-Confederate,2003,Salisbury,35.6657,-80.491
League of the South,South Carolina,Neo-Confederate,2003,Salley,33.5678,-81.3037
League of the South,Texas,Neo-Confederate,2003,San Angelo,31.4426,-100.4501
League of the South,California,Neo-Confederate,2003,San Jose,37.3018,-121.8485
League of the South,Alabama,Neo-Confederate,2003,Selma,32.4166,-87.0336
League of the South,South Carolina,Neo-Confederate,2003,Spartanburg,34.9437,-81.9257
League of the South,South Carolina,Neo-Confederate,2003,Summerville,33.0005,-80.1788
League of the South,South Carolina,Neo-Confederate,2003,Sumter,33.9392,-80.393
League of the South,South Carolina,Neo-Confederate,2003,Surfside Beach,33.6092,-78.9772
League of the South,Georgia,Neo-Confederate,2003,Talbotton,32.6773,-84.5406
League of the South,Georgia,Neo-Confederate,2003,Thomaston,32.8907,-84.3272
League of the South,Georgia,Neo-Confederate,2003,Tunnel Hill,34.8477,-85.0408
League of the South,Florida,Neo-Confederate,2003,Wellborn,30.2311,-82.8196
League of the South,Tennessee,Neo-Confederate,2003,Westpoint,35.1331,-87.5336
League of the South,Alabama,Neo-Confederate,2003,Wetumpka,32.5407,-86.2057
League of the South,North Carolina,Neo-Confederate,2003,Wilmington,34.21,-77.886
League of the South,North Carolina,Neo-Confederate,2003,Winston-Salem,36.1029,-80.261
Liberty Bell Publications,South Carolina,Neo-Nazi,2003,York,34.9968,-81.2348
Lord's Work,Kentucky,Christian Identity,2003,Austin,36.8253,-86.0191
Louisiana White Knights of the KKK,Louisiana,Ku Klux Klan,2003,Walker,30.4848,-90.8654
Micetrap Distribution,New Jersey,Hate Music,2003,Maple Shade,39.9526,-74.9924
Midland Hammerskins,Missouri,Racist Skinhead,2003,Springfield,37.1943,-93.2915
Mission to Israel,Nebraska,Christian Identity,2003,Scottsbluff,41.8677,-103.6619
Mississippi White Knights of the KKK,Mississippi,Ku Klux Klan,2003,Petal,31.3477,-89.2359
Mississippi White Knights of the KKK,Mississippi,Ku Klux Klan,2003,Robinsonville,34.8173,-90.3162
MSR Productions,Colorado,Hate Music,2003,Wheat Ridge,39.7728,-105.1031
Mystic Knights of the KKK,Ohio,Ku Klux Klan,2003,Dayton,39.7797,-84.1998
Mystic Knights of the KKK,Ohio,Ku Klux Klan,2003,Dayton,39.7797,-84.1998
Mystic Knights of the KKK,Michigan,Ku Klux Klan,2003,Fraser,42.5388,-82.9496
